"EventId","EventType","Timestamp","Level","Message","Exception"
"event-f4cd8786857f08dd47d5590000000000","0x89fd04d8","2025-04-27T11:37:57.0929542Z","Information","MakeHttpCallAsync BMS Endpoint: https://10.2.103.170:8010/api/service/billsPayment/GetBillerCategories",""
"event-f4cd8b6a857f08dd48d5590000000000","0x5e35be77","2025-04-27T11:37:57.0930538Z","Information","BMS Payload: <SearchCriteria>
  <TerminalId>4LIT0001</TerminalId>
</SearchCriteria>",""
"event-f4cd8d91857f08dd49d5590000000000","0x5689e21a","2025-04-27T11:37:57.0931089Z","Information","https://10.2.103.170:8010/api/service/><?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response><ResponseCode>90000</ResponseCode><CategoryList TotalAvailable=""38""><Category><Id>46-B</Id><Name>BankOne MFBs</Name><Description>BankOne MFBs</Description></Category><Category><Id>47-B</Id><Name>Association/Membership Dues</Name><Description>Association/Membership Dues</Description></Category><Category><Id>50-B</Id><Name>Airlines and Hotels Payments</Name><Description>Airlines and Hotels Payments</Description></Category><Category><Id>52-B</Id><Name>Utility Bills</Name><Description>Utility Bills</Description></Category><Category><Id>53-B</Id><Name>Transport and Toll Payments</Name><Description>Transport and Toll Payments</Description></Category><Category><Id>56-B</Id><Name>Tax Payment</Name><Description>Tax Payment</Description></Category><Category><Id>66-B</Id><Name>Mobile Recharge</Name><Description>Recharge your phone</Description></Category><Category><Id>72-B</Id><Name>Electricity</Name><Description>Electricity</Description></Category><Category><Id>79-B</Id><Name>Travel and Hotel</Name><Description>Airline tickets and hotel reservation payments</Description></Category><Category><Id>81-B</Id><Name>Betting, Lottery and Gaming</Name><Description>Betting and Lottery</Description></Category><Category><Id>87-B</Id><Name>Merchant Payments</Name><Description>Quickteller SME</Description></Category><Category><Id>89-B</Id><Name>Renewable Energy</Name><Description>Renewable Energy</Description></Category><Category><Id>90-B</Id><Name>Gift and Reward</Name><Description>Gift and Reward</Description></Category><Category><Id>92-B</Id><Name>State Government and Ministry Payments</Name><Description>State Government and Ministry Payments</Description></Category><Category><Id>95-B</Id><Name>Postpaid and Other Services</Name><Description>Postpaid and Other Services</Description></Category><Category><Id>97-B</Id><Name>Schools and Education</Name><Description>Schools and Education</Description></Category><Category><Id>98-B</Id><Name>Invoice and Merchant Payments</Name><Description>Invoice and Merchant Payments</Description></Category><Category><Id>102-B</Id><Name>Ticketing and Events</Name><Description>Ticketing and Events</Description></Category><Category><Id>103-B</Id><Name>Dues and Service Charges</Name><Description>Dues and Service Charges</Description></Category><Category><Id>104-B</Id><Name>Internet and Data Services</Name><Description>Internet and Data Services</Description></Category><Category><Id>128-B</Id><Name>Buy Fuel</Name><Description>Buy Fuel</Description></Category><Category><Id>108-B</Id><Name>Micro Pensions</Name><Description>Micro Pensions</Description></Category><Category><Id>1-B</Id><Name>Data</Name><Description>Default</Description></Category><Category><Id>2-B</Id><Name>Cable TV</Name><Description>Default</Description></Category><Category><Id>8-B</Id><Name>Flight</Name><Description>Default</Description></Category><Category><Id>13-B</Id><Name>Airtime</Name><Description>Airtime</Description></Category><Category><Id>14-B</Id><Name>Donations</Name><Description>Make Donations</Description></Category><Category><Id>16-B</Id><Name>Card Loading</Name><Description>Card Loading</Description></Category><Category><Id>17-B</Id><Name>Mobile Money</Name><Description>Mobile Money</Description></Category><Category><Id>19-B</Id><Name>Religious Institutions</Name><Description>Religious Institutions</Description></Category><Category><Id>25-B</Id><Name>PayChoice</Name><Description>PayChoice</Description></Category><Category><Id>27-B</Id><Name>Nestle Distributors</Name><Description>Nestle Distributors</Description></Category><Category><Id>30-B</Id><Name>Loan Repayment</Name><Description>Loan Repayment</Description></Category><Category><Id>34-B</Id><Name>Investment and Insurance</Name><Description>Investment and Insurance</Description></Category><Category><Id>36-B</Id><Name>Internet Services</Name><Description>Internet Services</Description></Category><Category><Id>37-B</Id><Name>International Airtime</Name><Description>International Airtime</Description></Category><Category><Id>40-B</Id><Name>Embassy Payments</Name><Description>Embassy Payments</Description></Category><Category><Id>42-B</Id><Name>Dealer Payments</Name><Description>Dealer Payments</Description></Category></CategoryList></Response>",""
"event-f4cd902d857f08dd4ad5590000000000","0x17827ec6","2025-04-27T11:37:57.0931757Z","Information","COUNTER LOG, MakeHttpCallAsync API Call : urlPath=>billsPayment/GetBillerCategories; time elapsed=>134",""
"event-f4cd912e857f08dd4bd5590000000000","0xd8ea8cf0","2025-04-27T11:37:57.0932014Z","Information","COUNTER LOG, API Call : urlPath=>billsPayment/GetBillerCategories; Response Data: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response><ResponseCode>90000</ResponseCode><CategoryList TotalAvailable=""38""><Category><Id>46-B</Id><Name>BankOne MFBs</Name><Description>BankOne MFBs</Description></Category><Category><Id>47-B</Id><Name>Association/Membership Dues</Name><Description>Association/Membership Dues</Description></Category><Category><Id>50-B</Id><Name>Airlines and Hotels Payments</Name><Description>Airlines and Hotels Payments</Description></Category><Category><Id>52-B</Id><Name>Utility Bills</Name><Description>Utility Bills</Description></Category><Category><Id>53-B</Id><Name>Transport and Toll Payments</Name><Description>Transport and Toll Payments</Description></Category><Category><Id>56-B</Id><Name>Tax Payment</Name><Description>Tax Payment</Description></Category><Category><Id>66-B</Id><Name>Mobile Recharge</Name><Description>Recharge your phone</Description></Category><Category><Id>72-B</Id><Name>Electricity</Name><Description>Electricity</Description></Category><Category><Id>79-B</Id><Name>Travel and Hotel</Name><Description>Airline tickets and hotel reservation payments</Description></Category><Category><Id>81-B</Id><Name>Betting, Lottery and Gaming</Name><Description>Betting and Lottery</Description></Category><Category><Id>87-B</Id><Name>Merchant Payments</Name><Description>Quickteller SME</Description></Category><Category><Id>89-B</Id><Name>Renewable Energy</Name><Description>Renewable Energy</Description></Category><Category><Id>90-B</Id><Name>Gift and Reward</Name><Description>Gift and Reward</Description></Category><Category><Id>92-B</Id><Name>State Government and Ministry Payments</Name><Description>State Government and Ministry Payments</Description></Category><Category><Id>95-B</Id><Name>Postpaid and Other Services</Name><Description>Postpaid and Other Services</Description></Category><Category><Id>97-B</Id><Name>Schools and Education</Name><Description>Schools and Education</Description></Category><Category><Id>98-B</Id><Name>Invoice and Merchant Payments</Name><Description>Invoice and Merchant Payments</Description></Category><Category><Id>102-B</Id><Name>Ticketing and Events</Name><Description>Ticketing and Events</Description></Category><Category><Id>103-B</Id><Name>Dues and Service Charges</Name><Description>Dues and Service Charges</Description></Category><Category><Id>104-B</Id><Name>Internet and Data Services</Name><Description>Internet and Data Services</Description></Category><Category><Id>128-B</Id><Name>Buy Fuel</Name><Description>Buy Fuel</Description></Category><Category><Id>108-B</Id><Name>Micro Pensions</Name><Description>Micro Pensions</Description></Category><Category><Id>1-B</Id><Name>Data</Name><Description>Default</Description></Category><Category><Id>2-B</Id><Name>Cable TV</Name><Description>Default</Description></Category><Category><Id>8-B</Id><Name>Flight</Name><Description>Default</Description></Category><Category><Id>13-B</Id><Name>Airtime</Name><Description>Airtime</Description></Category><Category><Id>14-B</Id><Name>Donations</Name><Description>Make Donations</Description></Category><Category><Id>16-B</Id><Name>Card Loading</Name><Description>Card Loading</Description></Category><Category><Id>17-B</Id><Name>Mobile Money</Name><Description>Mobile Money</Description></Category><Category><Id>19-B</Id><Name>Religious Institutions</Name><Description>Religious Institutions</Description></Category><Category><Id>25-B</Id><Name>PayChoice</Name><Description>PayChoice</Description></Category><Category><Id>27-B</Id><Name>Nestle Distributors</Name><Description>Nestle Distributors</Description></Category><Category><Id>30-B</Id><Name>Loan Repayment</Name><Description>Loan Repayment</Description></Category><Category><Id>34-B</Id><Name>Investment and Insurance</Name><Description>Investment and Insurance</Description></Category><Category><Id>36-B</Id><Name>Internet Services</Name><Description>Internet Services</Description></Category><Category><Id>37-B</Id><Name>International Airtime</Name><Description>International Airtime</Description></Category><Category><Id>40-B</Id><Name>Embassy Payments</Name><Description>Embassy Payments</Description></Category><Category><Id>42-B</Id><Name>Dealer Payments</Name><Description>Dealer Payments</Description></Category></CategoryList></Response>",""
"event-f4cda5d7857f08dd4cd5590000000000","0xefc0c014","2025-04-27T11:37:57.0937303Z","Information","EncryptResponseData Elapsed Time: 135 ms",""
"event-af7b75cd858308dde1d7590000000000","0x89fd04d8","2025-04-27T12:04:38.7792333Z","Information","MakeHttpCallAsync BMS Endpoint: https://10.2.103.170:8010/api/service/billsPayment/GetBillerCategories",""
"event-af7b818c858308dde2d7590000000000","0x5e35be77","2025-04-27T12:04:38.7795340Z","Information","BMS Payload: <SearchCriteria>
  <TerminalId>4LIT0001</TerminalId>
</SearchCriteria>",""
"event-af7b8682858308dde3d7590000000000","0x5689e21a","2025-04-27T12:04:38.7796610Z","Information","https://10.2.103.170:8010/api/service/><?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response><ResponseCode>90000</ResponseCode><CategoryList TotalAvailable=""38""><Category><Id>46-B</Id><Name>BankOne MFBs</Name><Description>BankOne MFBs</Description></Category><Category><Id>47-B</Id><Name>Association/Membership Dues</Name><Description>Association/Membership Dues</Description></Category><Category><Id>50-B</Id><Name>Airlines and Hotels Payments</Name><Description>Airlines and Hotels Payments</Description></Category><Category><Id>52-B</Id><Name>Utility Bills</Name><Description>Utility Bills</Description></Category><Category><Id>53-B</Id><Name>Transport and Toll Payments</Name><Description>Transport and Toll Payments</Description></Category><Category><Id>56-B</Id><Name>Tax Payment</Name><Description>Tax Payment</Description></Category><Category><Id>66-B</Id><Name>Mobile Recharge</Name><Description>Recharge your phone</Description></Category><Category><Id>72-B</Id><Name>Electricity</Name><Description>Electricity</Description></Category><Category><Id>79-B</Id><Name>Travel and Hotel</Name><Description>Airline tickets and hotel reservation payments</Description></Category><Category><Id>81-B</Id><Name>Betting, Lottery and Gaming</Name><Description>Betting and Lottery</Description></Category><Category><Id>87-B</Id><Name>Merchant Payments</Name><Description>Quickteller SME</Description></Category><Category><Id>89-B</Id><Name>Renewable Energy</Name><Description>Renewable Energy</Description></Category><Category><Id>90-B</Id><Name>Gift and Reward</Name><Description>Gift and Reward</Description></Category><Category><Id>92-B</Id><Name>State Government and Ministry Payments</Name><Description>State Government and Ministry Payments</Description></Category><Category><Id>95-B</Id><Name>Postpaid and Other Services</Name><Description>Postpaid and Other Services</Description></Category><Category><Id>97-B</Id><Name>Schools and Education</Name><Description>Schools and Education</Description></Category><Category><Id>98-B</Id><Name>Invoice and Merchant Payments</Name><Description>Invoice and Merchant Payments</Description></Category><Category><Id>102-B</Id><Name>Ticketing and Events</Name><Description>Ticketing and Events</Description></Category><Category><Id>103-B</Id><Name>Dues and Service Charges</Name><Description>Dues and Service Charges</Description></Category><Category><Id>104-B</Id><Name>Internet and Data Services</Name><Description>Internet and Data Services</Description></Category><Category><Id>128-B</Id><Name>Buy Fuel</Name><Description>Buy Fuel</Description></Category><Category><Id>108-B</Id><Name>Micro Pensions</Name><Description>Micro Pensions</Description></Category><Category><Id>1-B</Id><Name>Data</Name><Description>Default</Description></Category><Category><Id>2-B</Id><Name>Cable TV</Name><Description>Default</Description></Category><Category><Id>8-B</Id><Name>Flight</Name><Description>Default</Description></Category><Category><Id>13-B</Id><Name>Airtime</Name><Description>Airtime</Description></Category><Category><Id>14-B</Id><Name>Donations</Name><Description>Make Donations</Description></Category><Category><Id>16-B</Id><Name>Card Loading</Name><Description>Card Loading</Description></Category><Category><Id>17-B</Id><Name>Mobile Money</Name><Description>Mobile Money</Description></Category><Category><Id>19-B</Id><Name>Religious Institutions</Name><Description>Religious Institutions</Description></Category><Category><Id>25-B</Id><Name>PayChoice</Name><Description>PayChoice</Description></Category><Category><Id>27-B</Id><Name>Nestle Distributors</Name><Description>Nestle Distributors</Description></Category><Category><Id>30-B</Id><Name>Loan Repayment</Name><Description>Loan Repayment</Description></Category><Category><Id>34-B</Id><Name>Investment and Insurance</Name><Description>Investment and Insurance</Description></Category><Category><Id>36-B</Id><Name>Internet Services</Name><Description>Internet Services</Description></Category><Category><Id>37-B</Id><Name>International Airtime</Name><Description>International Airtime</Description></Category><Category><Id>40-B</Id><Name>Embassy Payments</Name><Description>Embassy Payments</Description></Category><Category><Id>42-B</Id><Name>Dealer Payments</Name><Description>Dealer Payments</Description></Category></CategoryList></Response>",""
"event-af7b93d2858308dde4d7590000000000","0x58a73edb","2025-04-27T12:04:38.7800018Z","Information","COUNTER LOG, MakeHttpCallAsync API Call : urlPath=>billsPayment/GetBillerCategories; time elapsed=>62",""
